source,target,regex,code,type,hits,title,status
"/podcast-ep27-phd-funding-austin/","https://angiecreates.io/podcast-ep27-phd-funding-austin/",0,301,"url",0,"","active"
"/podcast-ep28-ut-austin-phd/","https://angiecreates.io/podcast-ep28-ut-austin-phd/",0,301,"url",0,"","active"
"/podcast-ep29-thefoodiefitness/","https://angiecreates.io/podcast-ep29-thefoodiefitness/",0,301,"url",0,"","active"
"/podcast-ep30-may-ig-anthropology/","https://angiecreates.io/podcast-ep30-may-ig-anthropology/",0,301,"url",0,"","active"
"/podcast-ep31-ntu-gender-sports/","https://angiecreates.io/podcast-ep31-ntu-gender-sports/",0,301,"url",0,"","active"
"/podcast-ep31-letmiafixyou/","https://angiecreates.io/podcast-ep31-letmiafixyou/",0,301,"url",0,"","active"
"/podcast-ep33-infinity-nozznel/","https://angiecreates.io/blog/",0,301,"url",0,"","active"
"/podcast-ep34-hip-dysfunction-gait-analysis/","https://angiecreates.io/podcast-ep34-hip-dysfunction-gait-analysis/",0,301,"url",0,"","active"
"/podcast-ep35-uic-kinesiology-phd/","https://angiecreates.io/podcast-ep35-uic-kinesiology-phd/",0,301,"url",0,"","active"
"/podcast-ep36-bingobilinguo/","https://angiecreates.io/podcast-ep36-bingobilinguo/",0,301,"url",0,"","active"
"/podcast-ep37-understand-depression/","https://angiecreates.io/podcast-ep37-understand-depression/",0,301,"url",0,"","active"
"/podcast-ep38-us-basketball-team/","https://angiecreates.io/podcast-ep38-us-basketball-team/",0,301,"url",0,"","active"
"/podcast-ep39-ucl-sportsmedicine/","https://angiecreates.io/blog/",0,301,"url",0,"","active"
"/podcast-ep44-girl-power-room-pei/","https://angiecreates.io/podcast-ep44-girl-power-room-pei/",0,301,"url",0,"","active"
"/podcast-ep45-serenayoga-dentist/","https://angiecreates.io/podcast-ep45-serenayoga-dentist/",0,301,"url",0,"","active"
"/podcast-ep46-serenayoga-meditation-pain/","https://angiecreates.io/podcast-ep46-serenayoga-meditation-pain/",0,301,"url",0,"","active"
"/podcast-ep46-fem-irene/","https://angiecreates.io/podcast-ep46-fem-irene/",0,301,"url",0,"","active"
"/marriage-01-intro/","https://angiecreates.io/pathlesspathmarriage/",0,301,"url",0,"","active"
"/marriage-02-date/","https://angiecreates.io/pathlesspathmarriage/",0,301,"url",0,"","active"
"/marriage-03-nomad/","https://angiecreates.io/pathlesspathmarriage/",0,301,"url",0,"","active"
"/marriage-04-solopreneur/","https://angiecreates.io/pathlesspathmarriage/",0,301,"url",0,"","active"
"/marriage-05-final/","https://angiecreates.io/pathlesspathmarriage/",0,301,"url",0,"","active"
"/thoughts/","https://angiecreates.io/blog/",0,301,"url",0,"","active"
"/podcast-ep27-phd-funding-austin/","https://angiecreates.io/podcast-ep27-phd-funding-austin/",0,301,"url",0,"","active"
"/angie-wang-bio/","https://angiecreates.io/english/",0,301,"url",0,"","active"
"/strength-training/","https://angiecreates.io/blog/",0,301,"url",0,"","active"
"/gymefitcoachinterviews/","https://angiecreates.io/blog/",0,301,"url",0,"","active"
"/certificates/","https://angiecreates.io/english/",0,301,"url",0,"","active"
